+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-origurl.tkaine.stvkat+ACI-	0
+ACI-origurl.shareware.com+ACI-	0
+ACI-origurl.e.html+ACI-	0
+ACI-origurl.www.123greetings.com+ACI-	0
+ACI-origurl.lofts.7119+ACI-	0
+ACI-origurl.likesbooks.com+ACI-	0
+ACI-origurl.gort.ucsd.edu+ACI-	0
+ACI-origurl.users.aol.com+ACI-	0
+ACI-origurl.www.innotts.co.uk+ACI-	0
+ACI-origurl.roll.com+ACI-	0
+ACI-origurl.events+ACI-	0
+ACI-origurl.www.2meta.com+ACI-	0
+ACI-origurl.chuck.html+ACI-	0
+ACI-origurl.paris+ACI-	0
+ACI-origurl.chapel+ACI-	0
+ACI-origurl.tii+ACI-	0
+ACI-origurl.how.title+ACI-	0
+ACI-origurl.www.news.observer.com+ACI-	0
+ACI-origurl.alley+ACI-	0
+ACI-origurl.april.fools+ACI-	0
+ACI-origurl.carousel+ACI-	0
+ACI-origurl.www.haestad.com+ACI-	0
+ACI-origurl.title.html+ACI-	0
+ACI-origurl.lemoyne.edu+ACI-	0
+ACI-origurl.plains.5257+ACI-	0
+ACI-origurl.psychref+ACI-	0
+ACI-origurl.www.interchg.ubc.ca+ACI-	0
+ACI-origurl.www.lycos.co.uk+ACI-	0
+ACI-origurl.lolnad.private+ACI-	0
+ACI-origurl.ibitexas.com+ACI-	0
+ACI-origurl.wco.com+ACI-	0
+ACI-origurl.jsd+ACI-	0
+ACI-origurl.www.rock.n.roll.com+ACI-	0
+ACI-origurl.antiwar.com+ACI-	0
+ACI-origurl.target+ACI-	0
+ACI-origurl.phoenix.mcet.edu+ACI-	0
+ACI-origurl.index+ACI-	0
+ACI-origurl.1154.index+ACI-	0
+ACI-origurl.pharmacy+ACI-	0
+ACI-origurl.coltrane+ACI-	0
+ACI-origurl.website.ora.com+ACI-	0
+ACI-origurl.index.htm+ACI-	0
+ACI-origurl.dept+ACI-	0
+ACI-origurl.area51.labyrinth+ACI-	0
+ACI-origurl.mandypaul+ACI-	0
+ACI-origurl.pointe+ACI-	0
+ACI-origurl.plato.htm+ACI-	0
+ACI-origurl.arvann+ACI-	0
+ACI-origurl.ion.0+ACI-	0
+ACI-origurl.chapel.safehaven+ACI-	0
+ACI-origurl.worldvillage.com+ACI-	0
+ACI-origurl.nf.htm+ACI-	0
+ACI-origurl.www.martnet.com+ACI-	0
+ACI-origurl.hem1.passagen.se+ACI-	0
+ACI-origurl.worlddrugstore.com+ACI-	0
+ACI-origurl.www.globec.com.au+ACI-	0
+ACI-origurl.athens.8774+ACI-	0
+ACI-origurl.times.paper+ACI-	0
+ACI-origurl.actup+ACI-	0
+ACI-origurl.inwap+ACI-	0
+ACI-origurl.main+ACI-	0
+ACI-origurl.www.larx.com+ACI-	0
+ACI-origurl.geocities.com+ACI-	0
+ACI-origurl.4301.misfits2+ACI-	0
+ACI-origurl.kattsida+ACI-	0
+ACI-origurl.members.aol.com+ACI-	0
+ACI-origurl.spu.edu+ACI-	0
+ACI-origurl.sunsite.unc.edu+ACI-	0
+ACI-origurl.valley.2647+ACI-	0
+ACI-origurl.josefina3+ACI-	0
+ACI-origurl.tkaine+ACI-	0
+ACI-origurl.bonchin.cat+ACI-	0
+ACI-origurl.chopin.htm+ACI-	0
+ACI-origurl.punkie+ACI-	0
+ACI-origurl.ubc.ca+ACI-	0
+ACI-origurl.links.nf+ACI-	0
+ACI-origurl.misfits2+ACI-	0
+ACI-origurl.area51.vault+ACI-	0
+ACI-origurl.kitty+ACI-	0
+ACI-origurl.plato+ACI-	0
+ACI-origurl.hollywood.7735+ACI-	0
+ACI-origurl.link+ACI-	0
+ACI-origurl.www.monmouth.com+ACI-	0
+ACI-origurl.hist+ACI-	0
+ACI-origurl.members.tripod.com+ACI-	0
+ACI-origurl.www.ibitexas.com+ACI-	0
+ACI-origurl.cgidir.dll+ACI-	0
+ACI-origurl.heartland+ACI-	0
+ACI-origurl.pages.catscats+ACI-	0
+ACI-origurl.tkaine.linda+ACI-	0
+ACI-origurl.crawler+ACI-	0
+ACI-origurl.paul.spu.edu+ACI-	0
+ACI-origurl.bishop.pterry+ACI-	0
+ACI-origurl.carousel.org+ACI-	0
+ACI-origurl.romance+ACI-	0
+ACI-origurl.nyx.net+ACI-	0
+ACI-origurl.hollywood+ACI-	0
+ACI-origurl.simonc+ACI-	0
+ACI-origurl.sox+ACI-	0
+ACI-origurl.www.cob.sjsu.edu+ACI-	0
+ACI-origurl.timeout.5+ACI-	0
+ACI-origurl.leonora+ACI-	0
+ACI-origurl.fh.rpl.de+ACI-	0
+ACI-origurl.vt.edu+ACI-	0
+ACI-origurl.ucsd.edu+ACI-	0
+ACI-origurl.www.carousel.org+ACI-	0
+ACI-origurl.www.antiwar.com+ACI-	0
+ACI-origurl.FlowSoft.com+ACI-	0
+ACI-origurl.kbell.charlie+ACI-	0
+ACI-origurl.www.likesbooks.com+ACI-	0
+ACI-origurl.labyrinth.9439+ACI-	0
+ACI-origurl.www.icsi.com+ACI-	0
+ACI-origurl.events.aprilfoolsday+ACI-	0
+ACI-origurl.tii.tii+ACI-	0
+ACI-origurl.athens.forum+ACI-	0
+ACI-origurl.library+ACI-	0
+ACI-origurl.valley+ACI-	0
+ACI-origurl.ics.ikenobo+ACI-	0
+ACI-origurl.unc.edu+ACI-	0
+ACI-origurl.kandin+ACI-	0
+ACI-origurl.bordeaux+ACI-	0
+ACI-origurl.charlie+ACI-	0
+ACI-origurl.6750.paws+ACI-	0
+ACI-origurl.cccats+ACI-	0
+ACI-origurl.linda.htm+ACI-	0
+ACI-origurl.2647.coltrane+ACI-	0
+ACI-origurl.vault.3440+ACI-	0
+ACI-origurl.victoria.pharmacy+ACI-	0
+ACI-origurl.wv+ACI-	0
+ACI-origurl.kandin.html+ACI-	0
+ACI-origurl.soho.lofts+ACI-	0
+ACI-origurl.sunsetstrip.alley+ACI-	0
+ACI-origurl.slake.com+ACI-	0
+ACI-origurl.autotown.com+ACI-	0
+ACI-origurl.www.sanjosesabercats.com+ACI-	0
+ACI-origurl.infoserver.etl.vt.edu+ACI-	0
+ACI-origurl.kushmerick+ACI-	0
+ACI-origurl.www.toyotaofroswell.com+ACI-	0
+ACI-origurl.turbo+ACI-	0
+ACI-origurl.sw+ACI-	0
+ACI-origurl.hills+ACI-	0
+ACI-origurl.st+ACI-	0
+ACI-origurl.mogwhi+ACI-	0
+ACI-origurl.sj+ACI-	0
+ACI-origurl.pointe.1154+ACI-	0
+ACI-origurl.monmouth.com+ACI-	0
+ACI-origurl.mei.co.jp+ACI-	0
+ACI-origurl.sonic.net+ACI-	0
+ACI-origurl.safehaven.index+ACI-	0
+ACI-origurl.simonc.cybermog+ACI-	0
+ACI-origurl.messier+ACI-	0
+ACI-origurl.cybercats+ACI-	0
+ACI-origurl.search+ACI-	0
+ACI-origurl.heartland.5309+ACI-	0
+ACI-origurl.psnw.com+ACI-	0
+ACI-origurl.links+ACI-	0
+ACI-origurl.nav+ACI-	0
+ACI-origurl.nf+ACI-	0
+ACI-origurl.sunsetstrip+ACI-	0
+ACI-origurl.kandinsky+ACI-	0
+ACI-origurl.meadows.3727+ACI-	0
+ACI-origurl.www.afn.org+ACI-	0
+ACI-origurl.southbeach+ACI-	0
+ACI-origurl.pacific.net.sg+ACI-	0
+ACI-origurl.heartland.pointe+ACI-	0
+ACI-origurl.valley.2539+ACI-	0
+ACI-origurl.catscats.html+ACI-	0
+ACI-origurl.horn.html+ACI-	0
+ACI-origurl.area51+ACI-	0
+ACI-origurl.pages+ACI-	0
+ACI-origurl.chopin+ACI-	0
+ACI-origurl.it+ACI-	0
+ACI-origurl.bonchin+ACI-	0
+ACI-origurl.www.worldvillage.com+ACI-	0
+ACI-origurl.00.html+ACI-	0
+ACI-origurl.vrn.de+ACI-	0
+ACI-origurl.home.netscape.com+ACI-	0
+ACI-origurl.simstory.html+ACI-	0
+ACI-origurl.biopic.htm+ACI-	0
+ACI-origurl.dll+ACI-	0
+ACI-origurl.cmeese.malibu+ACI-	0
+ACI-origurl.ics+ACI-	0
+ACI-origurl.linda+ACI-	0
+ACI-origurl.fr+ACI-	0
+ACI-origurl.private.biopic+ACI-	0
+ACI-origurl.corridor.4590+ACI-	0
+ACI-origurl.leonora.html+ACI-	0
+ACI-origurl.dejay+ACI-	0
+ACI-origurl.aprilfoolsday+ACI-	0
+ACI-origurl.fools+ACI-	0
+ACI-origurl.biopic+ACI-	0
+ACI-origurl.lofts+ACI-	0
+ACI-origurl.heartland.plains+ACI-	0
+ACI-origurl.passagen.se+ACI-	0
+ACI-origurl.djang+ACI-	0
+ACI-origurl.5257.timstory+ACI-	0
+ACI-origurl.5.hpe+ACI-	0
+ACI-origurl.cybermog.htm+ACI-	0
+ACI-origurl.area51.corridor+ACI-	0
+ACI-origurl.yosemite.4301+ACI-	0
+ACI-origurl.wosc.html+ACI-	0
+ACI-origurl.rpp+ACI-	0
+ACI-origurl.personal+ACI-	0
+ACI-origurl.express.scripts.com+ACI-	0
+ACI-origurl.madamecleo+ACI-	0
+ACI-origurl.malibu+ACI-	0
+ACI-origurl.sjsu.edu+ACI-	0
+ACI-origurl.news+ACI-	0
+ACI-origurl.www.ems.psu.edu+ACI-	0
+ACI-origurl.7735.mcp+ACI-	0
+ACI-origurl.sox.htm+ACI-	0
+ACI-origurl.mcet.edu+ACI-	0
+ACI-origurl.punkie.htm+ACI-	0
+ACI-origurl.midnite+ACI-	0
+ACI-origurl.foxy.net+ACI-	0
+ACI-origurl.maple.lemoyne.edu+ACI-	0
+ACI-origurl.news.com+ACI-	0
+ACI-origurl.4010.index+ACI-	0
+ACI-origurl.www.slake.com+ACI-	0
+ACI-origurl.larx.com+ACI-	0
+ACI-origurl.www.FlowSoft.com+ACI-	0
+ACI-origurl.paper+ACI-	0
+ACI-origurl.paper.1998+ACI-	0
+ACI-origurl.inwap.com+ACI-	0
+ACI-origurl.www.tkz.fh.rpl.de+ACI-	0
+ACI-origurl.members.accessus.net+ACI-	0
+ACI-origurl.kattsida.html+ACI-	0
+ACI-origurl.cjackson.kandinsky+ACI-	0
+ACI-origurl.main.htm+ACI-	0
+ACI-origurl.www.mei.co.jp+ACI-	0
+ACI-origurl.www.adamspharmacy.com+ACI-	0
+ACI-origurl.20.timeout+ACI-	0
+ACI-origurl.corridor.5139+ACI-	0
+ACI-origurl.falcon.sonic.net+ACI-	0
+ACI-origurl.lycos.co.uk+ACI-	0
+ACI-origurl.ran+ACI-	0
+ACI-origurl.afn47757.midnite+ACI-	0
+ACI-origurl.www.vrn.de+ACI-	0
+ACI-origurl.5309.index+ACI-	0
+ACI-origurl.stvkat.htm+ACI-	0
+ACI-origurl.hpe+ACI-	0
+ACI-origurl.wv.square+ACI-	0
+ACI-origurl.www.pacificrim.net+ACI-	0
+ACI-origurl.how+ACI-	0
+ACI-origurl.www.metacrawler.com+ACI-	0
+ACI-origurl.pacificrim.net+ACI-	0
+ACI-origurl.5257.simstory+ACI-	0
+ACI-origurl.cmeese+ACI-	0
+ACI-origurl.metacrawler.com+ACI-	0
+ACI-origurl.catscats+ACI-	0
+ACI-origurl.wosc+ACI-	0
+ACI-origurl.xoom.com+ACI-	0
+ACI-origurl.innotts.co.uk+ACI-	0
+ACI-origurl.paris.3963+ACI-	0
+ACI-origurl.general.kushmerick+ACI-	0
+ACI-origurl.mindlink.net+ACI-	0
+ACI-origurl.cybermog+ACI-	0
+ACI-origurl.kerouac.htm+ACI-	0
+ACI-origurl.internauts.ca+ACI-	0
+ACI-origurl.mcp+ACI-	0
+ACI-origurl.martnet.com+ACI-	0
+ACI-origurl.toyotaofroswell.com+ACI-	0
+ACI-origurl.msheryl+ACI-	0
+ACI-origurl.vault+ACI-	0
+ACI-origurl.malibu.html+ACI-	0
+ACI-origurl.jsd.how+ACI-	0
+ACI-origurl.polypkem.index+ACI-	0
+ACI-origurl.corridor+ACI-	0
+ACI-origurl.zoe.html+ACI-	0
+ACI-origurl.afn.org+ACI-	0
+ACI-origurl.theinternetadvantage.com+ACI-	0
+ACI-origurl.coltrane.htm+ACI-	0
+ACI-origurl.timeout+ACI-	0
+ACI-origurl.8078.home+ACI-	0
+ACI-origurl.turbo.html+ACI-	0
+ACI-origurl.heartland.meadows+ACI-	0
+ACI-origurl.news.observer.com+ACI-	0
+ACI-origurl.www.psnw.com+ACI-	0
+ACI-origurl.tkaine.mogwhi+ACI-	0
+ACI-origurl.stanford.edu+ACI-	0
+ACI-origurl.www.bossintl.com+ACI-	0
+ACI-origurl.general+ACI-	0
+ACI-origurl.switchboard.com+ACI-	0
+ACI-origurl.cgidir+ACI-	0
+ACI-origurl.access.ch+ACI-	0
+ACI-origurl.sydkat.htm+ACI-	0
+ACI-origurl.hotsprings+ACI-	0
+ACI-origurl.baons+ACI-	0
+ACI-origurl.peace+ACI-	0
+ACI-origurl.2647.chopin+ACI-	0
+ACI-origurl.www.worlddrugstore.com+ACI-	0
+ACI-origurl.actup.index+ACI-	0
+ACI-origurl.bin.cgidir+ACI-	0
+ACI-origurl.www.internauts.ca+ACI-	0
+ACI-origurl.library.pitcairn+ACI-	0
+ACI-origurl.inwap.cats+ACI-	0
+ACI-origurl.lolnad+ACI-	0
+ACI-origurl.pterry+ACI-	0
+ACI-origurl.lovisa1+ACI-	0
+ACI-origurl.www.dreamn.com+ACI-	0
+ACI-origurl.polypkem+ACI-	0
+ACI-origurl.tm.fr+ACI-	0
+ACI-origurl.athens+ACI-	0
+ACI-origurl.copymat.com+ACI-	0
+ACI-origurl.soho+ACI-	0
+ACI-origurl.victoria+ACI-	0
+ACI-origurl.bossintl.com+ACI-	0
+ACI-origurl.westhollywood+ACI-	0
+ACI-origurl.private+ACI-	0
+ACI-origurl.cat+ACI-	0
+ACI-origurl.cats.htm+ACI-	0
+ACI-origurl.malek.kandin+ACI-	0
+ACI-origurl.yosemite+ACI-	0
+ACI-origurl.www.inwap.com+ACI-	0
+ACI-origurl.afn47757.plato+ACI-	0
+ACI-origurl.timstory+ACI-	0
+ACI-origurl.excite.com+ACI-	0
+ACI-origurl.forum.8078+ACI-	0
+ACI-origurl.cats+ACI-	0
+ACI-origurl.kitty.and+ACI-	0
+ACI-origurl.dreamn.com+ACI-	0
+ACI-origurl.crawler.general+ACI-	0
+ACI-origurl.bordeaux.actup+ACI-	0
+ACI-origurl.hotsprings.4527+ACI-	0
+ACI-origurl.kbell+ACI-	0
+ACI-origurl.stinky.cats+ACI-	0
+ACI-origurl.plains+ACI-	0
+ACI-origurl.netscape.com+ACI-	0
+ACI-origurl.csuhayward.edu+ACI-	0
+ACI-origurl.safehaven+ACI-	0
+ACI-origurl.tripod.com+ACI-	0
+ACI-origurl.alley.6750+ACI-	0
+ACI-origurl.sanjosesabercats.com+ACI-	0
+ACI-origurl.www.news.com+ACI-	0
+ACI-origurl.mogwhi.htm+ACI-	0
+ACI-origurl.www.theinternetadvantage.com+ACI-	0
+ACI-origurl.thejeep.com+ACI-	0
+ACI-origurl.3963.leonora+ACI-	0
+ACI-origurl.www.wednet.com+ACI-	0
+ACI-origurl.autopen.com+ACI-	0
+ACI-origurl.charlie.html+ACI-	0
+ACI-origurl.forum+ACI-	0
+ACI-origurl.kaitlin+ACI-	0
+ACI-origurl.april+ACI-	0
+ACI-origurl.grouper.com+ACI-	0
+ACI-origurl.www.ran.org+ACI-	0
+ACI-origurl.sydkat+ACI-	0
+ACI-origurl.heartland.6712+ACI-	0
+ACI-origurl.rpp.20+ACI-	0
+ACI-origurl.2647.kaitlin+ACI-	0
+ACI-origurl.psychref.html+ACI-	0
+ACI-origurl.josefina3.horn+ACI-	0
+ACI-origurl.malek+ACI-	0
+ACI-origurl.stvkat+ACI-	0
+ACI-origurl.timstory.html+ACI-	0
+ACI-origurl.corp+ACI-	0
+ACI-origurl.story+ACI-	0
+ACI-origurl.bds.punkie+ACI-	0
+ACI-origurl.zoe+ACI-	0
+ACI-origurl.kerouac+ACI-	0
+ACI-origurl.123greetings.com+ACI-	0
+ACI-origurl.2647.kerouac+ACI-	0
+ACI-origurl.www.access.ch+ACI-	0
+ACI-origurl.www.express.scripts.com+ACI-	0
+ACI-origurl.paws+ACI-	0
+ACI-origurl.wednet.com+ACI-	0
+ACI-origurl.francois+ACI-	0
+ACI-origurl.simstory+ACI-	0
+ACI-origurl.www.puc.edu+ACI-	0
+ACI-origurl.www.copymat.com+ACI-	0
+ACI-origurl.cjackson+ACI-	0
+ACI-origurl.kaitlin.htm+ACI-	0
+ACI-origurl.tori.html+ACI-	0
+ACI-origurl.southbeach.7597+ACI-	0
+ACI-origurl.home.html+ACI-	0
+ACI-origurl.hpe.10+ACI-	0
+ACI-origurl.pad.htm+ACI-	0
+ACI-origurl.psu.edu+ACI-	0
+ACI-origurl.www.shareware.com+ACI-	0
+ACI-origurl.bin+ACI-	0
+ACI-origurl.arvann.pages+ACI-	0
+ACI-origurl.tori+ACI-	0
+ACI-origurl.www.icgnet.com+ACI-	0
+ACI-origurl.romancebooks+ACI-	0
+ACI-origurl.3727.turbo+ACI-	0
+ACI-origurl.football+ACI-	0
+ACI-origurl.msheryl.djang+ACI-	0
+ACI-origurl.zueri.ch+ACI-	0
+ACI-origurl.aol.com+ACI-	0
+ACI-origurl.bds+ACI-	0
+ACI-origurl.cat.html+ACI-	0
+ACI-origurl.and.tori+ACI-	0
+ACI-origurl.hollywood.9662+ACI-	0
+ACI-origurl.djang.html+ACI-	0
+ACI-origurl.yahoo.co.uk+ACI-	0
+ACI-origurl.truluck.com+ACI-	0
+ACI-origurl.shtml+ACI-	0
+ACI-origurl.link.chuck+ACI-	0
+ACI-origurl.www.thejeep.com+ACI-	0
+ACI-origurl.2meta.com+ACI-	0
+ACI-origurl.cats.html+ACI-	0
+ACI-origurl.www.autopen.com+ACI-	0
+ACI-origurl.hevern+ACI-	0
+ACI-origurl.ikenobo+ACI-	0
+ACI-origurl.accessus.net+ACI-	0
+ACI-origurl.www.wco.com+ACI-	0
+ACI-origurl.contents+ACI-	0
+ACI-origurl.pitcairn+ACI-	0
+ACI-origurl.westhollywood.4010+ACI-	0
+ACI-origurl.messier.html+ACI-	0
+ACI-origurl.icgnet.com+ACI-	0
+ACI-origurl.mandypaul.main+ACI-	0
+ACI-origurl.links.carousel+ACI-	0
+ACI-origurl.square.chapel+ACI-	0
+ACI-origurl.www.grouper.com+ACI-	0
+ACI-origurl.6712.cats+ACI-	0
+ACI-origurl.www.MeissnerChevrolet.autotown.com+ACI-	0
+ACI-origurl.globec.com.au+ACI-	0
+ACI-origurl.meadows+ACI-	0
+ACI-origurl.afn47757+ACI-	0
+ACI-origurl.www.geocities.com+ACI-	0
+ACI-origurl.haestad.com+ACI-	0
+ACI-origurl.midnite.htm+ACI-	0
+ACI-origurl.tkaine.sox+ACI-	0
+ACI-origurl.lovisa1.kattsida+ACI-	0
+ACI-origurl.fr.bordeaux+ACI-	0
+ACI-origurl.mindspring.com+ACI-	0
+ACI-origurl.7597.kitty+ACI-	0
+ACI-origurl.wired.com+ACI-	0
+ACI-origurl.paws.pad+ACI-	0
+ACI-origurl.square+ACI-	0
+ACI-origurl.pad+ACI-	0
+ACI-origurl.method+ACI-	0
+ACI-origurl.www.mcs.csuhayward.edu+ACI-	0
+ACI-origurl.www.pacific.net.sg+ACI-	0
+ACI-origurl.chuck+ACI-	0
+ACI-origurl.ran.org+ACI-	0
+ACI-origurl.misfits2.htm+ACI-	0
+ACI-origurl.stinky+ACI-	0
+ACI-origurl.horn+ACI-	0
+ACI-origurl.heartland.valley+ACI-	0
+ACI-origurl.heartland.hills+ACI-	0
+ACI-origurl.www.finest.tm.fr+ACI-	0
+ACI-origurl.carousel.links+ACI-	0
+ACI-origurl.kushmerick.method+ACI-	0
+ACI-origurl.txt+ACI-	0
+ACI-origurl.method.0+ACI-	0
+ACI-origurl.title+ACI-	0
+ACI-origurl.fbox.vt.edu+ACI-	0
+ACI-origurl.index.html+ACI-	0
+ACI-origurl.asp+ACI-	0
+ACI-origurl.mcp.htm+ACI-	0
+ACI-origurl.home+ACI-	0
+ACI-origurl.hydrogeologist+ACI-	0
+ACI-origurl.2539.index+ACI-	0
+ACI-origurl.teams+ACI-	0
+ACI-origurl.ion+ACI-	0
+ACI-ancurl.search.direct+ACI-	0
+ACI-ancurl.likesbooks.com+ACI-	0
+ACI-ancurl.mirror+ACI-	0
+ACI-ancurl.www.slake.com+ACI-	0
+ACI-ancurl.cnet.cat+ACI-	0
+ACI-ancurl.hydrogeologist+ACI-	0
+ACI-ancurl.geoguide+ACI-	0
+ACI-ancurl.2fcrawler+ACI-	0
+ACI-ancurl.clawring.htm+ACI-	0
+ACI-ancurl.tkaine.kats+ACI-	0
+ACI-ancurl.labyrinth+ACI-	0
+ACI-ancurl.clickthru.clickid+ACI-	0
+ACI-ancurl.com.ads+ACI-	0
+ACI-ancurl.area51.corridor+ACI-	0
+ACI-ancurl.express.scripts.com+ACI-	0
+ACI-ancurl.cnet+ACI-	0
+ACI-ancurl.time.1998+ACI-	0
+ACI-ancurl.josefina3+ACI-	0
+ACI-ancurl.truluck.com+ACI-	0
+ACI-ancurl.cgiadman+ACI-	0
+ACI-ancurl.linkpg.htm+ACI-	0
+ACI-ancurl.geoguide.rank+ACI-	0
+ACI-ancurl.area51+ACI-	0
+ACI-ancurl.www.internauts.ca+ACI-	0
+ACI-ancurl.afn.org+ACI-	0
+ACI-ancurl.www.microsoft.com+ACI-	0
+ACI-ancurl.ran.org+ACI-	0
+ACI-ancurl.comprod.mirror+ACI-	0
